name,Tel,address
尚德動物醫院,2965-0238,板橋區南雅西路2段9號
聖博獸醫院,2957-0958,板橋區重慶路299號
邁德氏賽鴿專科醫院,8951-2330,板橋區海山路11號
沐愛動物醫院,2960-2233,板橋區國光路166號
亞麥動物醫院,2272-4481,板橋區國光路77號
台灣動物醫院,2258-8987,板橋區陽明街54號
中心動物醫院,2258-3540,板橋區新海路30號
台大文仁動物醫院,2683-3122,板橋區篤行路三段64號
後埔動物醫院,2967-8864,板橋區館前西路156-1號
雙十動物醫院,2250-2000,板橋區雙十路2段4號
懷恩動物醫院,2608-2673,林口區中山路235號
寶護動物醫院,8601-2219,林口區中山路281號
藍世界動物醫院林口分院,8601-9381,林口區中山路62號
日祥動物醫院,2601-1780,林口區中正路380號
林口動物醫院,2601-8364,林口區中正路496號
仁喆動物醫院,8601-2172,林口區仁愛路2段172號
麗園動物醫院,2600-0989,林口區文化1路1段119號
奇奇動物醫院,2600-2216,林口區文化3路1段437號
林動物醫院,2608-2389,林口區文化二路1段50號
臺大健弘動物醫院,2600-3851,林口區民族路6號
佳林動物醫院,2601-4638,林口區西林村竹林路60號
圓霖動物醫院,2608-1606,林口區忠孝路372號
台大開心動物醫院,2296-5821,泰山區明志路1段317號
泰山動物醫院,2296-1298,泰山區明志路1段468號
泰林動物醫院,2909-0833,泰山區泰林路2段204號
維康動物醫院,2628-3506,淡水區中山北路1段190號
達達動物醫院,2626-8818,淡水區中山北路1段207巷37弄7號
淡水動物醫院,2621-7987 2623-4598,淡水區中山路159-2號
聖愛動物醫院,2622-3824,淡水區中正東路6號
唯仁動物醫院,2808-2466,淡水區中正東路二段121號
黃動物醫院,2629-7384 2629-1823,淡水區北新路31號
德艾動物醫院,2808-5190,淡水區民生路8號
哲生動物醫院,2809-2293,淡水區民族路29巷40號
四季動物醫院,2809-9591,淡水區民族路33巷16-19號
上哲動物醫院沙崙店,2805-5534,淡水區沙崙路6號
上哲動物醫院,2622-5750,淡水區學府路4號
深坑動物醫院,2664-3865,深坑區北深路2段82號
高登動物醫院,2917-3512,新店區三民路106號
原典動物醫院,2218-1855,新店區中央5街12號
中友犬貓專科醫院,2915-3597,新店區中正路19號
強生動物醫院,2219-2055,新店區中正路392號
康和動物醫院,2918-1850,新店區中正路429號
喬伊動物醫院,2911-6955,新店區中興里檳榔路9號
愛達司動物醫院,8914-7888,新店區中興路一段261號
剛果動物醫院,8665-5702,新店區中興路三段259號
永康動物醫院,2912-7025,新店區北新路1段171號
新店太僕動物醫院,8665-8580,新店區北新路1段345號
惠安犬貓醫院,2914-2518,新店區北新路2段94號
弘安獸醫院,2911-9199,新店區北新路3段146號
誠恩動物醫院,2910-1354,新店區民族路32號
耕莘動物醫院,2910-0995,新店區光明街157號
安康動物醫院,2211-9881,新店區安成街42-1號
來安動物醫院,2211-8890,新店區安康路2段115之1號
康爾維動物醫院,8666-9595,新店區安康路2段308號
安新動物醫院,8666-5598,新店區安康路2段4號
明滙動物醫院,8215-1631,新店區安祥路104-7號GF
新店獸醫院,2911-1193,新店區環河路15號
愛友家畜醫院,2201-3218,新莊區中正路427-2號
多多動物醫院,2904-4415,新莊區中正路783號
新莊太僕動物醫院,2908-9070,新莊區中正路853號
守護動物醫院,2904-7859,新莊區中正路891-32號
護生動物醫院,2997-2812,新莊區中和街93號
聖安動物醫院,2277-6711,新莊區中港路256號
宏明動物醫院,2998-8577,新莊區中港路398號
牧平動物醫院,8992-7273,新莊區公園路122號
丘原動物醫院,2993-4631,新莊區公園路160號
榮星獸醫院,2205-8674,新莊區四維路4號
杰輝家畜醫院,2201-2881,新莊區西盛街159號
杏福獸醫院,2277-9099,新莊區幸福路73號
祐全動物醫院,2997-5827,新莊區幸福路795號
恆揚獸醫院,2993-1610,新莊區幸福路910號
建安動物醫院,8201-6943,新莊區建安街105號
銘德動物醫院,2204-3333,新莊區後港一路14號
山盟動物醫院,2277-5160,新莊區復興路2段90號
永吉家畜醫院,2994-4940,新莊區新泰路158號
新泰動物醫院,2276-9427,新莊區新泰路402號
全祐獸醫院,2901-6220,新莊區壽山路4號
佳護動物醫院,8991-7815,新莊區福壽街212號
快樂動物醫院,2908-8772,新莊區福營路242號
安安動物醫院,2901-3230,新莊區雙鳳路105號
愛馨動物醫院,2497-8928,瑞芳區一坑路32-3號
威爾頓動物醫院,2680-0378,樹林區大有街35號
昇昇動物醫院,8970-2975,樹林區大雅路370號
馥御動物醫院,2681-1324,樹林區中山路1段201號
山佳動物醫院,2668-7542,樹林區中山路3段77號
藍世界動物醫院,2676-5787,樹林區中正路506號
展鵬獸醫院,2688-0439,樹林區中正路757號
家德動物醫院,2681-1860,樹林區文化街100號
五星獸醫院,2683-3959,樹林區保安街1段96號
永發獸醫院,2683-5698,樹林區樹新路35號
愛欣動物醫院,2687-5556,樹林區樹德街5號
慈輝動物醫院,2681-1198,樹林區鎮前街144號
王獸醫院,2682-2089,樹林區鎮前街97巷4號
嘉安犬貓醫院,2848-0806,蘆洲區三民路169號
欣欣動物醫院,2282-5058,蘆洲區中山1路160號
增安動物醫院,8285-0255,蘆洲區中山一路169號
蘆洲動物醫院,2285-9117,蘆洲區中山二路8號1樓
信安家畜醫院,2847-9181,蘆洲區中正路142號
鷺江動物醫院,8285-0115,蘆洲區中正路209號
忠正動物醫院,2848-9283,蘆洲區中正路277號
雅旺動物醫院,2848-0148,蘆洲區民族路522號
愛樺動物醫院,2285-0093,蘆洲區民族路60號
伊娃動物醫院,2285-0288,蘆洲區永平街32巷12弄18號
家福動物醫院,2282-2332,蘆洲區光華路157號
佑欣動物醫院,8283-1299,蘆洲區光榮路66巷1號
德興動物醫院,2848-0240,蘆洲區長安街62號
大寶動物醫院,2283-1005,蘆洲區信義路235巷2號
胖皮動物醫院,8285-4848,蘆洲區復興路174號1樓
旭安動物醫院,2679-5662,鶯歌區中山路125號
鶯歌獸醫院,2678-2718,鶯歌區文化路383號
鶯歌奇緣動物醫院,2679-2243,鶯歌區光明街24號
